,timestamp,open,high,low,close,volume,bb_upper,bb_middle,bb_lowerband,macd,macd_signal,macdhist,macd_useful,rsi,stochastic_k,stochastic_d,useful_stochastic,returns
4098,2005-04-18,393.9267,393.9267,385.7409,387.4602,6694358,419.8626311661637,402.06757999999996,384.27252883383625,-4.380823160043121,-1.0528361453636386,-3.3279870146794828,4.160973366401693,34.5822680259315,7.189398731306139,7.803008089023948,0.9213624603848689,0.21628414995914436
4097,2005-04-19,389.1049,396.2066,382.8255,384.3206,6287661,417.89120123446963,397.11874,376.34627876553037,-5.969132213541059,-2.0360953589991224,-3.9330368545419363,2.9316565096810043,33.31905390346292,6.512610670906526,7.575420711249106,0.8597028362049435,0.25637007227819697
4096,2005-04-20,384.9933,397.627,384.9933,396.3562,6854580,410.73317469468554,394.3752,378.01722530531447,-6.185404751597389,-2.8659572375187756,-3.3194475140786133,2.1582334413867423,42.056881539250185,18.284490629539505,10.662166677250694,1.7148944659205305,0.23632606226419584
4095,2005-04-21,396.2066,408.1302,392.5437,405.4764,8858914,408.82198109745593,393.91918,379.01637890254403,-5.556822782819893,-3.404130346578999,-2.1526924362408937,1.6323766181292836,47.65448928290858,46.25901788325732,23.68537306123442,1.9530626671432476,0.19948386638531845
4094,2005-04-22,409.4759,410.2609,401.4395,408.6162,8647901,415.57578948220515,396.44592,377.31605051779485,-4.750550040526207,-3.6734142853684406,-1.0771357551577663,1.2932246873019744,49.46449325515621,75.9601083422445,46.83453895168041,1.6218822698481816,0.1977682235799756
4093,2005-04-25,404.4299,410.4103,403.4206,408.5788,5843764,419.31805962187224,400.66963999999996,382.0212203781277,-4.067701025446809,-3.7522716333841144,-0.31542939206269427,1.0840635814465844,49.44256241056231,92.2927614812769,71.50396256892621,1.2907363195754546,0.18635058891944456
4092,2005-04-26,407.4201,411.4943,404.6916,409.0648,5695701,415.2283482100298,405.61848,396.00861178997013,-3.447580560351014,-3.691333418777494,0.2437528584264803,0.9339661767786863,49.754314889772004,92.73269522556909,86.99518834969679,1.0659520024579876,0.14967090788549875
4091,2005-04-27,413.3258,418.3344,398.8606,403.0095,22660126,411.6481292046275,406.94914,402.2501507953725,-3.40548640040015,-3.6341640151020256,0.22867761470187542,0.9370755932446666,45.95228075500847,74.92421305446227,86.64988992043605,0.8646775330385236,0.1910590197005282
4090,2005-04-28,401.9629,406.9715,398.6736,405.6633,11680167,411.64081345937495,406.98652,402.332226540625,-3.1219985383258404,-3.5317309197467885,0.40973238142094814,0.8839853910925002,47.83372894508807,55.65453930531245,74.43714919511457,0.7476715579129828,0.18289897064881155
4089,2005-04-29,405.925,406.6724,392.5437,394.4874,7292464,414.7711551101401,404.16076,393.55036488985985,-3.755839118885035,-3.576552559574438,-0.17928655931059723,1.0501283166748512,41.311645042539475,27.88921135031636,52.82265457003033,0.5279782240656208,0.21214669974250144
